Company,Slogan,Category,char_count,word_count,cat_n,cat_reliable,sentiment_score,sentiment,subjectivity,score_length,score_memorability,score_emotion,score_action,score_originality,score_personal,cliches_detected,cliche_count,effectiveness_score,effectiveness_category,theme_cluster,theme_keywords
Hoegaarden,Beer Through the Ages,drinking-slogans,21,4,579,True,0.0,Neutral,0.0,10.0,5,0.0,0,10,0,[],0,4.25,Moyen,0,"live, make, best, love, great"
Eduscho,rrröstfrisch,drinking-slogans,12,1,579,True,0.0,Neutral,0.0,6.45,0,0.0,0,10,0,[],0,2.4675000000000002,Faible,0,"live, make, best, love, great"
MacCoffee,Every second Ukrainian is a MacCoffee,drinking-slogans,37,6,579,True,0.0,Neutral,0.0,10.0,0,0.0,0,10,0,[],0,3.0,Faible,0,"live, make, best, love, great"
Dallmayr,Unique every day,drinking-slogans,16,3,579,True,0.0,Neutral,1.0,8.5,0,5.0,0,8,0,['unique'],1,3.4749999999999996,Faible,0,"live, make, best, love, great"
Bulleit,Frontier Whiskey,drinking-slogans,16,2,579,True,0.0,Neutral,0.0,7.0,2,0.0,0,10,0,[],0,3.05,Faible,0,"live, make, best, love, great"
Tully's Coffee,Taste the Difference,drinking-slogans,20,3,579,True,0.0,Neutral,0.0,10.0,3,0.0,7,10,0,[],0,4.8,Moyen,4,"taste, good, difference, fresh, life"
Brisk,"That's Brisk, Baby",drinking-slogans,18,3,579,True,0.1531,Positive,0.0,8.5,5,0.7655000000000001,0,10,0,[],0,4.1781,Moyen,0,"live, make, best, love, great"
Baltika Brewery,Freshly arrived from the North,drinking-slogans,30,5,579,True,0.0,Neutral,0.5,10.0,3,2.5,5,10,0,[],0,5.0,Moyen,0,"live, make, best, love, great"
100PLUS,Outdo Yourself,drinking-slogans,14,2,579,True,0.0,Neutral,0.0,6.9,2,0.0,0,10,8,[],0,3.835,Moyen,0,"live, make, best, love, great"
HiteJinro,Jinro is back,drinking-slogans,13,3,579,True,0.0,Neutral,0.0,8.3,2,0.0,0,10,0,[],0,3.245,Faible,0,"live, make, best, love, great"
Chang Beer,We Brew Friendship,drinking-slogans,18,3,579,True,0.4404,Positive,0.0,8.5,2,2.202,5,10,3,[],0,4.7654,Moyen,0,"live, make, best, love, great"
Çaykur,The Tea of Turkey,drinking-slogans,17,4,579,True,0.0,Neutral,0.0,8.5,5,0.0,0,10,0,[],0,4.025,Moyen,0,"live, make, best, love, great"
Tassimo,Together is better,drinking-slogans,18,3,579,True,0.4404,Positive,0.5,8.5,3,4.702,0,10,0,[],0,4.4654,Moyen,3,"better, life, making, live, money"
NESTEA,Plunge into summer,drinking-slogans,18,3,579,True,0.0,Neutral,0.0,8.5,2,0.0,7,10,0,[],0,4.325,Moyen,0,"live, make, best, love, great"
Kopiko,Coffee in Your Pocket,drinking-slogans,21,4,579,True,0.0,Neutral,0.0,10.0,2,0.0,0,10,8,[],0,4.3,Moyen,0,"live, make, best, love, great"
Jacobs,Your island of relaxation,drinking-slogans,25,4,579,True,0.5267,Positive,0.0,10.0,0,4.6335,0,10,8,[],0,4.7267,Moyen,0,"live, make, best, love, great"
Parle-G,G for Genius,drinking-slogans,12,3,579,True,0.0,Neutral,0.0,8.2,3,0.0,0,10,0,[],0,3.4799999999999995,Faible,0,"live, make, best, love, great"
Maaza,Excitement of Mango with Maaza,drinking-slogans,30,5,579,True,0.4939,Positive,0.0,10.0,3,2.4695,0,10,0,[],0,4.2439,Moyen,0,"live, make, best, love, great"
Sqwincher,Hydration That Works,drinking-slogans,20,3,579,True,0.0,Neutral,0.0,10.0,2,0.0,5,10,0,[],0,4.25,Moyen,0,"live, make, best, love, great"
Bodyarmor SuperDrink,Obsession is natural,drinking-slogans,20,3,579,True,0.0258,Neutral,0.4,10.0,0,2.129,0,10,0,[],0,3.4257999999999997,Faible,0,"live, make, best, love, great"
Devondale,You deserve it.,drinking-slogans,15,3,579,True,0.0,Neutral,0.0,8.5,0,0.0,5,10,5,[],0,4.025,Moyen,0,"live, make, best, love, great"
Arrowhead Water,It's better up here!,drinking-slogans,20,4,579,True,0.4926,Positive,0.5,10.0,2,4.963,0,10,0,[],0,4.4925999999999995,Moyen,3,"better, life, making, live, money"
Nestlé Pure Life,Pure Life Begins Now,drinking-slogans,20,4,579,True,0.0,Neutral,0.5,10.0,2,2.5,5,10,0,[],0,4.75,Moyen,2,"life, live, come, enjoy, make"
Imperial Blue,Men Will Be Men,drinking-slogans,15,4,579,True,0.0,Neutral,0.0,8.5,10,0.0,0,10,0,[],0,5.275,Bon,0,"live, make, best, love, great"
Emperador brandy,The World’s No.1 Brandy.,drinking-slogans,24,4,579,True,0.0,Neutral,0.0,10.0,2,0.0,0,10,0,[],0,3.5,Faible,5,"world, new, best, difference, beer"
McDowell's No.1,No1 Yaari Ka No1 Spirit,drinking-slogans,23,5,579,True,0.1779,Positive,0.0,10.0,10,0.8895,7,10,0,[],0,6.7279,Très bon,0,"live, make, best, love, great"
Caffè Nero,The Italian coffee company,drinking-slogans,26,4,579,True,0.0,Neutral,0.0,10.0,3,0.0,0,10,0,[],0,3.75,Moyen,0,"live, make, best, love, great"
Sting Energy,Extreme energy. Ultimate taste.,drinking-slogans,31,4,579,True,0.3384,Positive,1.0,10.0,3,6.692,0,7,0,['ultimate'],1,4.6384,Moyen,4,"taste, good, difference, fresh, life"
Faygo,The One True Pop.,drinking-slogans,17,4,579,True,0.4215,Positive,0.65,8.5,5,5.3575,0,10,0,[],0,5.0965,Bon,0,"live, make, best, love, great"
Antinori,the pursuit of excellence,drinking-slogans,25,4,579,True,0.6249,Positive,0.0,10.0,0,5.1245,0,7,0,['excellence'],1,3.5749000000000004,Moyen,0,"live, make, best, love, great"
Cellini,Try the Italian taste,drinking-slogans,21,4,579,True,0.0,Neutral,0.0,10.0,3,0.0,7,10,0,[],0,4.8,Moyen,4,"taste, good, difference, fresh, life"
Champagne Lanson,Why not?,drinking-slogans,8,2,579,True,0.0,Neutral,0.0,6.3,2,0.0,0,10,0,[],0,2.945,Faible,0,"live, make, best, love, great"
Eckes-Granini,The best of fruit,drinking-slogans,17,4,579,True,0.6369,Positive,0.3,8.5,2,6.6845,0,7,0,['best'],1,4.1619,Moyen,0,"live, make, best, love, great"
AME,0% alcohol 100% spirit,drinking-slogans,22,4,579,True,0.1779,Positive,0.0,10.0,3,0.8895,0,10,0,[],0,3.9279,Moyen,0,"live, make, best, love, great"
Ciroc,The art of celebration,drinking-slogans,22,4,579,True,0.0,Neutral,0.0,10.0,0,0.0,0,10,0,[],0,3.0,Faible,0,"live, make, best, love, great"
Yellow Tail Shiraz,Have you spotted it?,drinking-slogans,20,4,579,True,0.0,Neutral,0.0,10.0,2,0.0,5,10,5,[],0,4.75,Moyen,0,"live, make, best, love, great"
Delicato,The perfect wine for real life,drinking-slogans,30,6,579,True,0.5719,Positive,0.65,10.0,2,8.1095,0,8,0,['perfect'],1,4.8219,Moyen,2,"life, live, come, enjoy, make"
DrinkFit,For life.,drinking-slogans,9,2,579,True,0.0,Neutral,0.0,6.4,2,0.0,0,10,0,[],0,2.96,Faible,2,"life, live, come, enjoy, make"
360 Vodka,Blend in. Stand out.,drinking-slogans,20,4,579,True,0.0,Neutral,0.0,10.0,5,0.0,7,10,0,[],0,5.3,Bon,0,"live, make, best, love, great"
Amarula,Made from Africa,drinking-slogans,16,3,579,True,0.0,Neutral,0.0,8.5,0,0.0,10,10,0,[],0,4.275,Moyen,0,"live, make, best, love, great"
CSwiss,The original hemp ice tea,drinking-slogans,25,5,579,True,0.3182,Positive,0.75,10.0,3,5.341,0,10,0,[],0,4.8182,Moyen,0,"live, make, best, love, great"
Michelob AmberBock,Rich and smooth,drinking-slogans,15,3,579,True,0.5574,Positive,0.625,8.5,2,7.912,0,10,0,[],0,4.8574,Moyen,0,"live, make, best, love, great"
Watney's,What we want is Watney's,drinking-slogans,24,5,579,True,0.0772,Positive,0.0,10.0,5,0.386,5,10,3,[],0,5.377199999999999,Bon,0,"live, make, best, love, great"
WKD original Vodka,Have you got a WKD side?,drinking-slogans,24,6,579,True,0.0,Neutral,0.0,10.0,0,0.0,8,10,5,[],0,4.7,Moyen,0,"live, make, best, love, great"
Weihenstephan,The World's Oldest Brewery,drinking-slogans,26,4,579,True,0.0,Neutral,0.0,10.0,2,0.0,0,10,3,[],0,3.8,Moyen,5,"world, new, best, difference, beer"
Vita Coco,Thirst For Life,drinking-slogans,15,3,579,True,0.0,Neutral,0.0,8.5,2,0.0,7,10,0,[],0,4.325,Moyen,2,"life, live, come, enjoy, make"
Facedrink,The social drink,drinking-slogans,16,3,579,True,0.0,Neutral,0.06666666666666667,8.5,2,0.3333333333333333,0,10,0,[],0,3.341666666666667,Faible,0,"live, make, best, love, great"
Michelob Lager,Distinct by design,drinking-slogans,18,3,579,True,0.0,Neutral,0.3,8.5,3,1.5,0,10,0,[],0,3.825,Moyen,0,"live, make, best, love, great"
Archers Peach Schnapps,Try it on the rocks,drinking-slogans,19,5,579,True,0.0,Neutral,0.0,8.5,5,0.0,7,10,0,[],0,5.075,Bon,0,"live, make, best, love, great"
Sharp's beer,Keep your edge,drinking-slogans,14,3,579,True,0.0,Neutral,0.0,8.4,2,0.0,7,10,8,[],0,5.11,Bon,0,"live, make, best, love, great"
Vivaloe,Nature's healing beverage,drinking-slogans,25,3,579,True,0.0,Neutral,0.0,10.0,0,0.0,0,10,0,[],0,3.0,Faible,0,"live, make, best, love, great"
Daily's Cocktails,Where great cocktails start,drinking-slogans,27,4,579,True,0.6249,Positive,0.75,10.0,2,8.874500000000001,8,10,0,[],0,6.474900000000001,Bon,0,"live, make, best, love, great"
Sexergy,Get sexergized.,drinking-slogans,15,2,579,True,0.0,Neutral,0.0,7.0,0,0.0,5,10,0,[],0,3.3,Faible,0,"live, make, best, love, great"
Cafédirect,Bringing quality to life.,drinking-slogans,25,4,579,True,0.0,Neutral,0.0,10.0,2,0.0,7,7,0,['quality'],1,4.1,Moyen,2,"life, live, come, enjoy, make"
Green Mountain Coffee,Brew a better day.,drinking-slogans,18,4,579,True,0.4404,Positive,0.5,8.5,5,4.702,7,10,0,[],0,6.0154,Bon,3,"better, life, making, live, money"
Simply orange,Honestly simple.,drinking-slogans,16,2,579,True,0.4588,Positive,0.35714285714285715,7.0,2,4.079714285714286,0,10,0,[],0,3.8659428571428576,Moyen,0,"live, make, best, love, great"
Weston's Cider,Cider inspired by tradition.,drinking-slogans,28,4,579,True,0.4939,Positive,0.0,10.0,0,2.4695,5,10,0,[],0,4.2439,Moyen,0,"live, make, best, love, great"
Long Life,Enjoy the difference.,drinking-slogans,21,3,579,True,0.4939,Positive,0.5,10.0,0,4.9695,7,10,0,[],0,5.0439,Bon,0,"live, make, best, love, great"
Skol,The light dry lager.,drinking-slogans,20,4,579,True,0.0,Neutral,0.6499999999999999,10.0,3,3.2499999999999996,0,10,0,[],0,4.4,Moyen,0,"live, make, best, love, great"
Pomegreat,Get your juices flowing.,drinking-slogans,24,4,579,True,0.0,Neutral,0.0,10.0,2,0.0,10,10,8,[],0,5.8,Bon,0,"live, make, best, love, great"
Loveergy,Love meets energy.,drinking-slogans,18,3,579,True,0.743,Positive,0.6,8.5,2,8.715,5,10,0,[],0,5.768,Bon,0,"live, make, best, love, great"
Isklar,Norwegian glacial natural mineral water.,drinking-slogans,40,5,579,True,0.3612,Positive,0.2,10.0,8,2.806,0,10,3,[],0,5.8612,Bon,0,"live, make, best, love, great"
Glengoyne,The real taste of malt.,drinking-slogans,23,5,579,True,0.0,Neutral,0.30000000000000004,10.0,5,1.5000000000000002,0,10,0,[],0,4.55,Moyen,4,"taste, good, difference, fresh, life"
Molson Brewery,We'll drink to that.,drinking-slogans,20,4,579,True,0.0,Neutral,0.0,10.0,5,0.0,5,10,3,[],0,5.3,Bon,0,"live, make, best, love, great"
Desperados,Why not?!,drinking-slogans,9,2,579,True,0.0,Neutral,0.0,6.4,2,0.0,0,10,0,[],0,2.96,Faible,0,"live, make, best, love, great"
Propel Water,The fitness water.,drinking-slogans,18,3,579,True,0.2732,Positive,0.0,8.5,2,1.366,0,10,0,[],0,3.5482,Moyen,0,"live, make, best, love, great"
Havana Club,Do it the Hemingway.,drinking-slogans,20,4,579,True,0.0,Neutral,0.0,10.0,0,0.0,10,10,0,[],0,4.5,Moyen,0,"live, make, best, love, great"
Duvel,Repent tomorrow.,drinking-slogans,16,2,579,True,0.0,Neutral,0.0,7.0,2,0.0,0,10,0,[],0,3.05,Faible,0,"live, make, best, love, great"
R. White's,As it shoud be.,drinking-slogans,15,4,579,True,0.0,Neutral,0.0,8.5,2,0.0,0,10,0,[],0,3.275,Faible,0,"live, make, best, love, great"
Raging Cow,Pasteurize this!,drinking-slogans,16,2,579,True,0.0,Neutral,0.0,7.0,0,0.0,7,10,0,[],0,3.6,Moyen,0,"live, make, best, love, great"
ReaLemon,Extra lemon twist for extra lemon taste.,drinking-slogans,40,7,579,True,0.0,Neutral,0.1,8.5,10,0.5,0,10,0,[],0,5.375,Bon,4,"taste, good, difference, fresh, life"
Cherry Heering,Very cheering Cherry Heering.,drinking-slogans,29,4,579,True,0.5563,Positive,0.3,10.0,8,6.2815,5,10,0,[],0,7.0063,Très bon,0,"live, make, best, love, great"
Duff Beer,More than just a beer.,drinking-slogans,22,5,579,True,0.0,Neutral,0.5,10.0,2,2.5,0,10,0,[],0,4.0,Moyen,0,"live, make, best, love, great"
Ritazza,The art of great coffee.,drinking-slogans,24,5,579,True,0.6249,Positive,0.75,10.0,2,8.874500000000001,0,10,0,[],0,5.274900000000001,Bon,0,"live, make, best, love, great"
Hildon,The pure generation.,drinking-slogans,20,3,579,True,0.0,Neutral,0.5,10.0,0,2.5,0,10,0,[],0,3.5,Faible,0,"live, make, best, love, great"
Hine,Savour the moment.,drinking-slogans,18,3,579,True,0.0,Neutral,0.0,8.5,2,0.0,7,10,3,[],0,4.625,Moyen,0,"live, make, best, love, great"
Metaxa,Taste the Unexpected,drinking-slogans,20,3,579,True,0.0,Neutral,1.0,10.0,3,5.0,7,10,0,[],0,5.8,Bon,4,"taste, good, difference, fresh, life"
AdeZ,Let's stay strong.,drinking-slogans,18,3,579,True,0.5106,Positive,0.7333333333333333,8.5,5,8.219666666666667,7,10,0,[],0,6.718933333333333,Très bon,0,"live, make, best, love, great"
Rivella,Rivella ahh.,drinking-slogans,12,2,579,True,0.0,Neutral,0.0,6.7,0,0.0,0,10,0,[],0,2.505,Faible,0,"live, make, best, love, great"
Carte Noire,France's favourite coffee.,drinking-slogans,26,3,579,True,0.0,Neutral,0.0,10.0,3,0.0,0,10,3,[],0,4.05,Moyen,0,"live, make, best, love, great"
Highland Queen,Queen of Scots.,drinking-slogans,15,3,579,True,0.0,Neutral,0.0,8.5,2,0.0,0,10,0,[],0,3.275,Faible,0,"live, make, best, love, great"
Cobra,Now you're talking.,drinking-slogans,19,3,579,True,0.0,Neutral,0.0,8.5,2,0.0,5,10,5,[],0,4.525,Moyen,0,"live, make, best, love, great"
Merrydown,Cider for the few.,drinking-slogans,18,4,579,True,0.0,Neutral,0.1,8.5,5,0.5,0,10,0,[],0,4.125,Moyen,0,"live, make, best, love, great"
Woodford Reserve,Handcrafted Kentucky bourbon.,drinking-slogans,29,3,579,True,0.0,Neutral,0.0,10.0,2,0.0,7,10,3,[],0,4.85,Moyen,0,"live, make, best, love, great"
Knob Creek,Drink life deeply.,drinking-slogans,18,3,579,True,0.0,Neutral,0.4,8.5,5,2.0,7,10,0,[],0,5.475,Bon,2,"life, live, come, enjoy, make"
MonaVie,A more meaningful life.,drinking-slogans,23,4,579,True,0.3804,Positive,0.5,10.0,3,4.402,0,10,0,[],0,4.6304,Moyen,2,"life, live, come, enjoy, make"
Swizly,Trends change. Taste remains,drinking-slogans,28,4,579,True,0.0,Neutral,0.0,10.0,5,0.0,5,10,0,[],0,5.0,Moyen,4,"taste, good, difference, fresh, life"
Bawls,Bounce with Bawls!,drinking-slogans,18,3,579,True,0.0,Neutral,0.0,8.5,5,0.0,7,10,0,[],0,5.075,Bon,0,"live, make, best, love, great"
Old Angus,A noble Scotch.,drinking-slogans,15,3,579,True,0.4588,Positive,0.9,8.5,2,6.7940000000000005,0,10,0,[],0,4.6338,Moyen,0,"live, make, best, love, great"
Kia-Ora,Remember Kia-Ora.,drinking-slogans,17,2,579,True,0.0,Neutral,0.0,7.0,2,0.0,7,10,0,[],0,4.1,Moyen,0,"live, make, best, love, great"
Booth's Gin,King of Gin,drinking-slogans,11,3,579,True,0.0,Neutral,0.0,8.1,2,0.0,0,10,0,[],0,3.215,Faible,0,"live, make, best, love, great"
Tia Lusso,You just know.,drinking-slogans,14,3,579,True,0.0,Neutral,0.0,8.4,2,0.0,5,10,5,[],0,4.51,Moyen,0,"live, make, best, love, great"
Sunsweet,Keeping you smiling on the inside.,drinking-slogans,34,6,579,True,0.4588,Positive,0.0,10.0,3,2.294,7,10,5,[],0,5.7588,Bon,0,"live, make, best, love, great"
Banks's Beer,Tell it like it is.,drinking-slogans,19,5,579,True,0.3612,Positive,0.0,8.5,10,1.806,7,10,0,[],0,6.6861999999999995,Très bon,8,"like, ll, feel, ve, way"
Dos Mas,Your drink!,drinking-slogans,11,2,579,True,0.0,Neutral,0.0,6.6,2,0.0,0,10,8,[],0,3.79,Moyen,0,"live, make, best, love, great"
Sumol,Latinize yourself.,drinking-slogans,18,2,579,True,0.0,Neutral,0.0,7.0,0,0.0,7,10,8,[],0,4.4,Moyen,0,"live, make, best, love, great"
Noilly Prat,French. Dry. Different.,drinking-slogans,23,3,579,True,0.0,Neutral,0.39999999999999997,10.0,3,1.9999999999999998,0,10,0,[],0,4.15,Moyen,0,"live, make, best, love, great"
Koppaberg,Cider of Sweden.,drinking-slogans,16,3,579,True,0.0,Neutral,0.0,8.5,2,0.0,0,10,3,[],0,3.575,Moyen,0,"live, make, best, love, great"
Black & White,Whisky at its best.,drinking-slogans,19,4,579,True,0.6369,Positive,0.3,8.5,2,6.6845,0,7,0,['best'],1,4.1619,Moyen,0,"live, make, best, love, great"
Old Jamaica Ginger Beer,Hot from Jamaica.,drinking-slogans,17,3,579,True,0.0,Neutral,0.8500000000000001,8.5,0,4.25,0,10,0,[],0,3.625,Moyen,0,"live, make, best, love, great"
Kaahée,Legal magic.,drinking-slogans,12,2,579,True,0.128,Positive,0.6,6.7,2,3.64,0,10,0,[],0,3.733,Moyen,0,"live, make, best, love, great"
Thwaites Lancaster Bomber,The Northern beauty.,drinking-slogans,20,3,579,True,0.5859,Positive,0.0,10.0,2,4.9295,0,10,0,[],0,4.4859,Moyen,0,"live, make, best, love, great"
Threshers,Wines you can swear by.,drinking-slogans,23,5,579,True,-0.0516,Negative,0.0,10.0,0,0.258,5,10,8,[],0,4.6016,Moyen,0,"live, make, best, love, great"
Mocafe,Be particular...,drinking-slogans,16,2,579,True,0.0,Neutral,0.3333333333333333,7.0,0,1.6666666666666665,0,10,0,[],0,2.8833333333333333,Faible,0,"live, make, best, love, great"
Teefix,Fix mit Teefix.,drinking-slogans,15,3,579,True,0.0,Neutral,0.0,8.5,2,0.0,7,10,0,[],0,4.325,Moyen,0,"live, make, best, love, great"
Modelo Especial,Let it be served.,drinking-slogans,17,4,579,True,0.0,Neutral,0.0,8.5,2,0.0,7,10,0,[],0,4.325,Moyen,0,"live, make, best, love, great"
Golden Kaan,A touch of luxury!,drinking-slogans,18,4,579,True,0.0,Neutral,0.0,8.5,2,0.0,0,10,0,[],0,3.275,Faible,0,"live, make, best, love, great"
Britvic,Make it a proper drink.,drinking-slogans,23,5,579,True,0.0,Neutral,0.1,10.0,2,0.5,10,10,0,[],0,5.1,Bon,0,"live, make, best, love, great"
Venga,Drink Venga. Do it right.,drinking-slogans,25,5,579,True,0.0,Neutral,0.5357142857142857,10.0,5,2.6785714285714284,10,10,0,[],0,6.285714285714286,Bon,0,"live, make, best, love, great"
Godiva Liqueur,Let it inspire you.,drinking-slogans,19,4,579,True,0.5719,Positive,0.0,8.5,3,4.8595,7,10,5,[],0,6.0469,Bon,0,"live, make, best, love, great"
Leffe,Rediscover time.,drinking-slogans,16,2,579,True,0.0,Neutral,0.0,7.0,0,0.0,0,10,0,[],0,2.55,Faible,0,"live, make, best, love, great"
Fontana Candida,Wines of Rome,drinking-slogans,13,3,579,True,0.0,Neutral,0.0,8.3,2,0.0,0,10,0,[],0,3.245,Faible,0,"live, make, best, love, great"
Ballygowan water,No other water.,drinking-slogans,15,3,579,True,-0.296,Negative,0.375,8.5,2,3.355,0,10,0,[],0,3.9459999999999997,Moyen,0,"live, make, best, love, great"
Mount Gay Rum,It's about time.,drinking-slogans,16,3,579,True,0.0,Neutral,0.0,8.5,2,0.0,0,10,0,[],0,3.275,Faible,0,"live, make, best, love, great"
Graham's,The last word.,drinking-slogans,14,3,579,True,0.0,Neutral,0.06666666666666667,8.4,2,0.3333333333333333,0,10,0,[],0,3.3266666666666667,Faible,0,"live, make, best, love, great"
Brains Brewery,It's Brains you want!,drinking-slogans,21,4,579,True,0.1511,Positive,0.0,10.0,2,0.7555000000000001,5,10,5,[],0,4.9011,Moyen,0,"live, make, best, love, great"
Tullamore Dew,The spirit of Ireland.,drinking-slogans,22,4,579,True,0.1779,Positive,0.0,10.0,0,0.8895,0,10,0,[],0,3.1779,Faible,0,"live, make, best, love, great"
VOX,Distilled five times.,drinking-slogans,21,3,579,True,0.0,Neutral,0.0,10.0,2,0.0,7,10,0,[],0,4.55,Moyen,0,"live, make, best, love, great"
Miller Chill,Taste the thrill!,drinking-slogans,17,3,579,True,0.4199,Positive,0.0,8.5,5,2.0995,7,10,0,[],0,5.4949,Bon,4,"taste, good, difference, fresh, life"
Level Vodka,"Beyond smooth, from Absolut.",drinking-slogans,28,4,579,True,0.0,Neutral,0.5,10.0,0,2.5,0,10,0,[],0,3.5,Faible,0,"live, make, best, love, great"
Mott's,Start strong.,drinking-slogans,13,2,579,True,0.5106,Positive,0.7333333333333333,6.8,5,8.219666666666667,10,10,0,[],0,6.9139333333333335,Très bon,0,"live, make, best, love, great"
Young's Bitter,There's no disguising great beer.,drinking-slogans,33,5,579,True,-0.3252,Negative,0.75,10.0,0,5.3759999999999994,5,10,0,[],0,4.8252,Moyen,0,"live, make, best, love, great"
Belhaven Best,Scotland's best save.,drinking-slogans,21,3,579,True,0.8126,Positive,0.3,10.0,5,7.563,0,7,0,['best'],1,5.3126,Bon,0,"live, make, best, love, great"
Wolfschmidt,Now for a real Bloody Mary!,drinking-slogans,27,6,579,True,-0.4926,Negative,1.0,10.0,2,7.463,0,10,0,[],0,4.9926,Moyen,0,"live, make, best, love, great"
Turning Leaf,Handcrafted. It's time well spent.,drinking-slogans,34,5,579,True,0.2732,Positive,0.1,10.0,0,1.866,7,10,3,[],0,4.723199999999999,Moyen,0,"live, make, best, love, great"
Alizé,Higher proof. Drink responsibly.,drinking-slogans,32,4,579,True,0.0,Neutral,0.525,10.0,0,2.625,5,10,0,[],0,4.275,Moyen,0,"live, make, best, love, great"
Glenfarclas,Pride of Speyside.,drinking-slogans,18,3,579,True,0.34,Positive,0.0,8.5,0,1.7000000000000002,0,10,0,[],0,3.115,Faible,0,"live, make, best, love, great"
Alpro Soya,A healthy decision.,drinking-slogans,19,3,579,True,0.4019,Positive,0.5,8.5,0,4.5095,0,10,0,[],0,3.6769,Moyen,0,"live, make, best, love, great"
Croft Particular,The palest sherry ever.,drinking-slogans,23,4,579,True,0.0,Neutral,0.0,10.0,2,0.0,0,10,0,[],0,3.5,Faible,0,"live, make, best, love, great"
Appletiser,100% pure pleasure.,drinking-slogans,19,3,579,True,0.5719,Positive,0.5,8.5,3,7.3595,0,10,0,[],0,4.9969,Moyen,0,"live, make, best, love, great"
Theakston,Traditional brewers.,drinking-slogans,20,2,579,True,0.0,Neutral,0.75,8.5,0,3.75,0,10,3,[],0,3.825,Moyen,0,"live, make, best, love, great"
Three Barrels,The choice brandy.,drinking-slogans,18,3,579,True,0.0,Neutral,0.0,8.5,2,0.0,0,10,0,[],0,3.275,Faible,0,"live, make, best, love, great"
Three Sixty Vodka,Diamond filtrated Vodka.,drinking-slogans,24,3,579,True,0.34,Positive,0.0,10.0,2,1.7000000000000002,5,10,0,[],0,4.59,Moyen,0,"live, make, best, love, great"
Gonzalez Byass,The right name for sherry.,drinking-slogans,26,5,579,True,0.0,Neutral,0.5357142857142857,10.0,2,2.6785714285714284,0,10,0,[],0,4.035714285714286,Moyen,0,"live, make, best, love, great"
Old Forester,Serious Bourbon since 1870.,drinking-slogans,27,4,579,True,-0.0772,Negative,0.6666666666666666,10.0,3,3.719333333333333,0,10,3,[],0,4.793866666666666,Moyen,0,"live, make, best, love, great"
Ruddles County,A beer from the real world.,drinking-slogans,27,6,579,True,0.0,Neutral,0.30000000000000004,10.0,2,1.5000000000000002,0,10,0,[],0,3.8,Moyen,5,"world, new, best, difference, beer"
Smirnoff Ice,Christmas made clear.,drinking-slogans,21,3,579,True,0.3818,Positive,0.3833333333333333,10.0,5,3.8256666666666663,8,10,0,[],0,6.215133333333333,Bon,0,"live, make, best, love, great"
